chunk_id,window_start,window_end,text,binary_hit,confidence
0,0:00:00,0:02:00,"[00:00–00:30]
Good morning. This meeting is now convened. It is 9 01 a.m. Board members present are Pelomendoza
and me, Audrey Momanai. Our first order of business is to hear from speakers to our agenda items.
Public comment during school board meetings will only be available to those persons who have signed
up to speak prior to the meeting time per current protocol. Verbal and other disruptions by persons
during the school board meetings are not acceptable as they inhibit the board's ability to conduct
business and the public's ability to observe those processes. Persons who participate in such
behavior will be given one warning, and if the behavior is repeated,

[00:30–01:00]
they will be asked to leave the meeting. Today we have nine registered speakers who will be limited
to two minutes each per board policy. We ask that you please stay on topic and refrain from naming
individuals, especially students, as their identity is protected under the law, but you may name
your own child. I ask that you please respect our procedures and the other speakers and end your
comments promptly when your time has expired and the timer rings. If you are signed up to speak via
Zoom, we must see you live with your camera on as you speak. We will begin with speakers registered
to address the board in the auditorium. The first speaker we have is Anita Wadwa. Is Ms. Wadwa here?

[01:00–01:30]
No. Our next speaker is Kelsey Gilmore Innes. Miss Innes? She is not here. Lauren Zenz. Miss Lauren
Zenz? Yes, ma'am. If you'll come up to the podium, thank you. Yes, ma'am. All right. Uh you, the
school board have no mandate.

[01:30–02:00]
to be here. The no vote on the bond proposal was a clear, coherent, and full-throated referendum on
your imposed leadership. And the fact that Mr. Miles had the gall to tell the press that he didn't
see it that way makes it clear to all of us that he is gloating in the fact that he has no
accountability to the actual citizens of HISD, nor does he ever plan to. Principal Valisa Castro
came into our Lantrip Elementary community and worked visibly and tirelessly to support our children
amid the chokehold that you have put on our school by removing resources and",0,5
1,0:02:00,0:04:00,"[02:00–02:30]
staff, and making clear that if any of them were willing to point out these facts, you would silence
them. Your actions are so blatantly undemocratic that they conflict with the very foundations of
democracy, which is built on a well informed public that becomes well informed through ubiquitous
access to taxpayer funded high quality education. Your stranglehold on our schools who have not
adopted and were not required to adopt this brain stifling NES model, all while lying to the public
and to parents about what you're doing behind the scenes, and your removal of

[02:30–03:00]
libraries from our children's school days is nefarious, malicious, and malignant. Let me be clear we
will not be silenced. We will stand up for principals and educators who stand for our children, and
we will stand up for everyone's right to elect locally governed school boards and to criticize
leadership, especially crony appointed ones who threaten the very foundations of our community and
our democracy. There is no democracy without public education that is controlled by our communities,
and you must, you must get your

[03:00–03:30]
hands out of our schools. We love Principal Castro, we love our teachers, and we love Lantrip
Elementary, the environmental science non NES school. Thank you. Thank you. Our next speaker is
Brooke Longoria. I don't see Ms. Longoria. They're keeping people out there and they're saying not
to come in, so maybe you should tell her. We'll check on it. Thank you. Are you a speaker today?
Yeah. Are you Reich Heiner? No. Are you Anita Wadwa? No. What's her name? Kelsey.

[03:30–04:00]
Kelsey, go in the side. Okay. Miss Gilmore Ennis, if you'll come up to the podium. Hello, good
morning. Glad to have both of you here today. So my name is Kelsey Gilmore Ennis. I am a parent at
Lantra Elementary. I'm here to speak about the bond. I actually voted for the bond, which I will
probably, you know, is different than most of the speakers you get up here.",0,5
2,0:04:00,0:06:00,"[04:30–05:00]
I read the entire proposal and I thought it was actually really well thought out. I had many, many
conversations with my friends and parents of fellow students of my kids, and I shared with them a
great doubt and a fear and a lack of trust. But in reading the bond, I really thought it was bold,
and I thought that what I saw in there was a commitment to invest in HISD, which I was really
impressed by. I think, especially in the current climate, a lot of times you see sort of like
austerity or cutting or sort of an apologetic.

[05:00–05:30]
Apologetic attitude towards public education, and I thought that that commitment to invest was
really clear. And I I don't know because you guys meet in private a lot, but I I I thought that
perhaps that came from this board of managers and your experience in the private sector. A lot of
you have really, you know, powerful positions, and you do you've run big organizations and you've
done really important things outside of this board meeting. Um as a parent at Landtrip, I really
regret that vote. I feel like a sucker because that commitment to invest that I saw in that proposal
has been completely under.

[05:30–06:00]
Undercut by the actions taken with regards to our principal. Um Velisa Castro is committed. She is
taking less than nothing that we have at our 85% Latino, 80% disadvantaged school, and putting in
the time and the effort to make it better. And she's being fired because she refused to stick to the
NES standards that we were told we wouldn't have to meet. I believe you guys understand the
importance of investing in good people and investing in successful schools. And I'm asking you as
governors to look into why your staff members are undercutting that.",1,4
3,0:06:00,0:08:00,"[06:00–06:30]
by asking people to leave when they've when they've held successful schools. Thank you. Thank you.
Okay. Um Ms. Woods, did you check outside to make sure that anybody is any of our speakers are here?
There are no one else signed um that signed into the front desk who are registered to speak here.
Okay, thank you. All right. Um, and is there anybody on Zoom that signed up to speak? Okay. Ms.
Sniff.

[06:30–07:00]
Norelis Rodriguez. Please turn your camera on and you may begin speaking. Sorry, give me just a
second. Is my camera? Sorry, I'm having a slight issue here. Okay.

[07:00–07:30]
Can you see me? Yes, ma'am. Please go ahead. Good morning. I am the parent of two students in HISD,
and I would like to start this morning with a quote. I think that leadership is always accountable
or at least responsible in some ways for anything major that happens or fails to happen in a
district. This was Mr. Miles' response when asked if a rejection of the bond would be a reflection
of his leadership. I, for once, in this entire year and a half, 100% agree.

[07:30–08:00]
with this response. The result of the bond is a direct rejection of Mr. Miles' leadership and a
refusal to put the future of our kids and schools in his hands. To the board of managers who are
listening to me today, these results are a failure, but failure often provides opportunity to learn
from our mistakes. Please build relationships with the community. If you want our vote, we must be
on board. Listen to the previous speaker who is now regretting her vote because of the changes that
are happening.",0,5
4,0:08:00,0:10:00,"[08:30–09:00]
to the school. Listen to feedbacks. Our kids are struggling. We see it every day in our own homes.
If kids are struggling, why are we not correcting the path that we're on? Ask the hard questions.
The day you accepted to be part of this board, you took on the duty to do what is right for all
kids. I'll provide some examples. Is this the education I would like for my own children? If the
answer to that is no, what should it be imposed onto others? Are schools' disruptions via removal of
leadership teams and effective leadership strategy?

[09:00–09:30]
I think the answer to that is no as well. Is losing 40% of qualified education, educators, a
prediction of success? I think the answer to that is no. Is a massive loss of students of students,
a record loss of students in this past year, an indication of success? I think the answer to that is
no as well. Please look inside and make the right decisions. Thank you very much. Thank you, ma'am.

[09:30–10:00]
Leslie Copeland, please turn your camera on. You may begin. My name is Leslie Copeland and I am a
Landtrip Elementary School parent. I am here celebrating National Parent Involvement Month with A
Prime B. How did you think I would vote yes to a bond when you are providing unstable school
environments by removing principals from the entire school district, then playing musical chairs by
moving administrators to different campuses only three months into the school year?",1,4
5,0:10:00,0:12:00,"[10:00–10:30]
This alone has created so much uncertainty and instability to so many students, parents, and staff
members, me included. Yesterday, our new principal, Ms. Castro, was placed on administrative leave
with no reason given to our community. In June of 2024, we received an email from Dr. Martinez
praising Principal Castro with the following statement. She is a well established educator with 18
years of experience. As a teacher and administrator, we are excited that Ms. Castro has committed to
serving the Landtrop Elementary School community to ensure students have a high quality education.
End quote.

[10:30–11:00]
Now a few months down the line, this well established educator with eighteen years of experience who
does not want to implement NES at our A-rated level three autonomous campus is all of a sudden not
good enough. Seems to me like it's Dr. Martinez and ultimately Mike Miles, who should be placed on
administrative leave and terminated as well, as they are the ones who keep hiring such terrible
principals that bring such detriment to my school. Ms. Castro quickly earned the love and respect
from the children and parents alike. She has indeed been ensuring that our students have high
quality.

[11:00–11:30]
education, but according to Dr. Martinez's email communication yesterday, this was just by chance.
Again, we are an A rated level three autonomous campus, and we demand our autonomy as promised by
Mike Miles himself. When I attended an HISD defined autonomy for A and B rated school meeting in
spring of 24. Our kids, our schools. Thank you. Thank you, ma'am. Karina Casada, please unmute
yourself and you may begin.

[11:30–12:00]
So the last time a bond failed in HISD was in 1996. That's almost 36, 30 years ago. And I just
wanted to let y'all know why that happened, some historical context. So back then, Rod Page had been
named superintendent of schools in a secretive, illegal manner. The community went to the TEA for
reprieve, who issued a report detailing their findings, including the conclusion that Dr. Page
violated state law when he accepted his job of Houston superintendent before resigning.",0,5
6,0:12:00,0:14:00,"[12:00–12:30]
from the school board. And the trustees had violated Texas Open Meetings Act when meeting in in
secret. The commissioner recommended a public superintendent search, and also these findings were
turned over. This report was turned over to the Harris County DA who declined to take any actions
against the trustee. The TA, under pressure from Governor Richards, also backed off. There was a
case, a lawsuit filed, it was dismissed, then it was appealed, and that failed.

[13:00–13:30]
in 1995. So the lar a large section of the community was not listened to and felt unheard by HISD,
TEA, the DA, and the court system. The end result was a lack of trust in HISD leadership in a failed
bond. So very similar to what we have here now, the community not being heard, we don't have any
reprieve. There's no trust in leadership. And so I hear a lot of people saying, fire Mike Miles. I
personally have never uttered that phrase because, in my opinion, Miles.

[13:30–14:00]
is just doing what he's been asked to do. Miles Marath, John Arnold, and their rich friends have
been conspiring to take over our public schools for over a decade. And spoiler alert, it's not to
make education better for our kids. The reason is ideology andor money. I blame you, the Born of
Managers. You are here willingly because you either also want the destruction of our public schools
or a two-tiered education system. Or you stand to me and find I'm looking at you, Rick Campo. Thank
you, ma'am. Maria.",0,5
7,0:14:00,0:16:00,"[14:00–14:30]
Maria Benzon, please turn your camera on. And you may begin. Good morning. My name is Dr. Maria
Benzon. I'm a parent, teacher, and advocate for our community and public education. Today I speak
for all of us who are ready to say enough is enough. We've all felt the weight of leadership
decisions that have shaken the very foundation of our schools. Our families, educators, and children
deserve better. Better than betrayal, better than being ignored, better than watching our community.

[14:30–15:00]
erode under policies that serve politics over progress. The state takeover of HISD and the
appointment of Superintendent Mike Miles by the TEA have shaken trust in our schools. The failure of
the $4.4 billion bond wasn't just about money. It was a community shouting enough, enough of toxic
leadership driving away beloved teachers, counselors, and principals. Enough of closed door
decisions that dismiss students, parents, and educators. Enough of frivolous spending while
classrooms struggle. This isn't a management.

[15:00–15:30]
problem, it's a crisis. Families are leaving our district, choosing other schools because they no
longer see value in staying. We are at a breaking point, but we are not powerless. Our community
deserves leadership that listens and acts with integrity. We deserve schools that prioritize our
kids, our teachers, and our future. We cannot afford to lose more educators or watch more students
walk away. The time for action is now. Let's stand together to rebuild trust, restore transparency,
and reclaim our schools. Let's demand accountability from leadership that values.

[15:30–16:00]
power over progress. Board of managers, it's time for a change. Fire Mike Miles. Our kids can't
wait. Our community cannot wait. Thank you. Thank you. There are no more speakers on Zoom. Okay,
thank you. That concludes our hearing of speakers to the agenda. Oh, okay. I have Rike Heiner. Who's
that?",0,5
8,0:16:00,0:18:00,"[16:00–16:30]
I don't have to want any of the questions. Okay. Um, Ms. Heiner, I'm sorry, you haven't you haven't
registered to speak today. Thank you though. Um okay. The purpose of this special meeting is to
canvas and accept the official results of the November fifth, twenty twenty four schoolhouse bond
election. May I have a motion to canvas and accept these official results. So moved. I will second
that motion. Do we need to do it? I guess we have to do it this way.

[17:00–17:30]
Do I go ahead and read this? Yes, okay. The official results are as follows. Houston Independent
School District Proposition A. On November 5th, 2024, Proposition A received 187,634 or 42.07% of
the total votes cast in favor of the proposition, compared to 258,373 or 57.93% of votes cast
against the proposition, which is a majority of the votes cast. Proposition A was defeated.

[17:30–18:00]
Houston Independent School District Proposition B. On November 5th, 2024, Proposition B received
184,787 or 41.8% of the total votes cast in favor of the proposition, compared to 257,262 or 58.2%
of votes cast against the proposition, which is the majority of the votes cast. Proposition B was
defeated. The official tabulation of the results of the election, including precinct level returns,
is contained in the attachment to the order canvassing returns and",1,4
9,0:18:00,0:20:00,"[18:00–18:30]
declaring the results of the November 5th, 2024 schoolhouse bond election, which has been provided
to board members. Ms. Mendoza, do you have any comments before we vote? I do not. I do not either.
The question is on the motion to canvas and accept the results of the November 5th, 2024 Schoolhouse
Bond Election. Those in favor, please raise your hand. Are we doing this electronically? We'll do it
electronically. Please vote.

[18:30–19:00]
Two in favor, none opposed. The motion passes. Let the record reflect the official Canvas results
for the November 5th, 2024 Schoolhouse Bond election have been accepted and approved. With no
further business to discuss, this special meeting of the school board is now adjourned at 9:20 a.m.
on November 19th, 2024. Thank you.",0,5