chunk_id,window_start,window_end,text,binary_hit,confidence,
0,0:00:00,0:02:00,"[00:00–00:30]
I call this special meeting of the Spring Branch Independent School District Board of Trustees to
order. Let the record show the time is now 731 and a quorum of board members is present. This
meeting has been duly called, and the notice for this meeting has been posted in accordance with the
Texas Open Meetings Act, Texas Government Code, Chapter 551.041. Dr. Blaine, do you have any opening
remarks? Um, just that I want to thank everybody for your flexibility. This meeting was supposed to
be Tuesday night, as we all know, but we were not able to have the meeting Tuesday night because of
the weather. So appreciate

[00:30–01:00]
everybody's flexibility to do this on Thursday on short notice. Um, tonight we are going to
actually, I'm gonna be turning this over, I believe, to Chris, to Mr. Ernest, and he is going to
give feedback from the AASC meeting that we had last week. Um, that group gave feedback on scenario
two, which is the scenario that you all talked about at your last board meeting, um, and kind of
tell you what they said. They were actually able to take sort of that we used a Mentimeter exercise
with their cell phones to.

[01:00–01:30]
get sort of like a vote to find out where everybody stood. It was really a very interesting meeting.
I won't get too into it because I know Chris is going to share all of that. And then I think you all
are going to have a discussion around what you would like to see in the next scenario, which would
be scenario three. We have no public speakers signed up tonight, so I'm going to skip over that. The
next item on the agenda is executive session. The board will now adjourn into executive session
under the following sections of the Texas Open Meetings.

[01:30–02:00]
Act, Section 551.074, Section 551.0821, Section 551.076, and Section 551.071. The time is now 733.
The meeting is now reconvened in open session in compliance with the provisions of the open meetings
laws of the state of Texas. The time is now 8 05. The executive session just",0,5,1
1,0:02:00,0:04:00,"[02:00–02:30]
completed has been held for discussion of topics as allowed by law. No action was taken. The next
item on the agenda is a request for approval of routine personnel. Do we have a motion? So moved.
Second. It has been moved by Chris Ernest and seconded by Caroline H. Bennett. Is there any
discussion? Those in favor say aye. Aye. Those opposed say no. The motion is approved by a vote of
seven to zero that we approve routine personnel items. The next item on the agenda is a discussion
of

[02:30–03:00]
future facilities planning. Dr. Blaine. Yes, so we sort of recap to that in the opening comments, so
I'm gonna turn this right over to Chris. Awesome. Um I'll give highlights. So what was it last
Wednesday? After our meeting Monday, we met uh with the Athletics and Arts Capital Improvement. Or
what is what are they? AA whatever my A S C A S C, sorry. Um we have pretty good attendance. I think
there were close to 35, 40 people here that night.

[03:00–03:30]
Um, and basically we ran through, I ran through essentially the almost the same report that we went
through as a board on Monday. We we had a little more detail uh in our meeting on the individual
campuses and kind of what was going on at each one, and we kind of had summary slides because there
was a lot in common between the different campuses, so we consolidated that for sake of time and
essentially ran through every high school at a high level and then each of the potential
propositions, including you know Don Coleman and Tol.

[03:30–04:00]
Tully. Uh the high schools obviously, uh, Grobe and the Natatorium and had you know an opportunity,
you know, really presentation of what we reviewed and then uh an opportunity for them as a table to
kind of react to and ask questions and and comment amongst one another about what they heard and
what they liked, what they didn't. Um and then we kind of we had a short feedback session after
that, and then at the end we took kind of a poll, which you'll see in the back of this report as to
kind of the level of confidence of this group uh in each one of the propositions and the totals.",0,4,
2,0:04:00,0:06:00,"[04:30–05:00]
So I'm gonna run through this at a high level. Anybody was it? Several people were there at this
table, so if keep me honest, and if I've forgotten a detail that you think people should know, feel
free to speak up. Um let's see. We start out, I mean we really uh we didn't lead with this slide,
but it was towards the end. But we did basically show them all the the costs and and explain the
difference between construction cost, the additional soft cost, and then you know the impact of
inflation. And so uh, you know, everybody got to see the total uh project amounts.

[05:00–05:30]
you know, by project and then and then the total. Um, so we did run through that with them uh in in
great detail. Ran through the high schools, uh, as I said. This is frozen. There we go. Um I would
say um, you know, I'm only gonna hit highlights on kind of the likes and wishes um you guys can kind
of read, but you know, I mean, one of the things that came up with Springwoods came up several times
because we were talking about the old nadatorium versus the new one.

[05:30–06:00]
and then you know what came up at least partially was the fact that we're doing a master plan for
the Springwoods campus, and you know, sort of reclaiming that land that the natatorium is now on was
well received, and the idea of it sort of setting itself up to be renovated in the future, I think
was well received. Um, you know, parking came up. You know, I think a few things that came up as you
look through these bullets, but I you know, I think what one thing for the campuses for sure that
this does is it allows us A to not only just improve our",0,5,
3,0:06:00,0:08:00,"[06:00–06:30]
facilities, but it touches each of our four high schools and it brings them all up to the same
standard essentially. And so it's um you know it's sort of an equalizing uh factor in that, you
know, I think we'll have state of the art facilities at each of the campuses and in most of the
communities we're we're pretty fired up about that. You know, we talked about PA systems and video
boards and and all of that was really well received. You know, one of the things that came up, you
know, who will benefit from this and you know I can kind of speak to this having two kids playing S
BMSA basketball right now, but you know that bullet near the bottom that says who will benefit from
it.

[06:30–07:00]
but you know, I mean our entire community right now, both our students at Spring Branch and even
private school students are benefiting from our gymnasiums. And you know, it's I think SBMSA's
expanded quite a bit since you know 10 years ago when we first started going through it. But now I
mean we literally are using almost every single gym that we have, you know, throughout the district.
So I regularly spend time at Northbrook and Springwoods and my daughter's at Stratford tonight and
we'll be at Memorial this weekend. But I mean there's basketball games happening all over the place.
So I think it's also you know I mean

[07:00–07:30]
I've talked to a few even private school families about the idea of having renovated facilities at
Spring Branch, and generally those people that use our facilities for things are very, very excited
about it. So, you know, that was one thing is that it's not just our students, but it there's
potential for the entire community to benefit from this. Um you know, I think the one bullet at the
top right there is important understanding the importance of natatorium, because we've removed uh
renovating the old one and we just have the new one on there. And and I've grown to appreciate the
need and desire to have a new natatorium.

[07:30–08:00]
new nadatorium, but you know, I do think it'll be uh an important message to get out to the
community of how badly we do need one, how undersized ours our ours is. And um you know, I keep
hearing the phrase that's being held together with zip ties and bubblegum, but uh there's a lot of
truth to that. So I think it's you know getting that message out there so that people really
appreciate the fact of you know kind of the bad shape that it's in. Another thing on here and you'll
see it on a few pages is and this was kind of related to the arts but the dedicated space for dance
and cheer and the band and that came up several times as we're talking about specific",0,5,
4,0:08:00,0:10:00,"[08:30–09:00]
Specifically Tully, but you even had um I think it was a Spartan Air that was here on Wednesday
night, and she even talked about how as a group they and the cheerleaders prefer going to other
districts stadiums because there's more room for them to do what they're there to do. Um and they're
very packed and tied up, you know, at Tully, and just talked about how what a better experience it
is there. So that's kind of a design thing, so it's kind of down the road, and and you know, with
renderings of what this might look like, but I think that's an important consideration is you know,
where are the performing arts going to be and be very

[09:00–09:30]
thoughtful about that. Um weight rooms come up at Northbrook and at Springwoods. Um Northbrook uh it
was it was mentioned in the report on Wednesday, and in on Monday we had both Springwoods and
Northbrook highlighted in our report, and when we condensed them down, the Springwoods one got left
off, not on purpose, but it you know they noticed very quickly. And if you've been over there, their
weight room is you know really undersized as well, uh short ceilings. But that's very important,
very, very important to both of those communities that that.

[09:30–10:00]
be included in there. So we'll have that. Let's see. You know, on some of the questions for the high
schools, some of this I think is kind of you know planning and renderings and things, but it was
more detailed around like what does the interior look like? How's it going to be used? Uh you know,
where are certain things going to be housed? Um it was be thoughtful about um storage, you know, at
our different facilities, both shared and at the high schools. Like it seems like storage areas are
are uh you know at a premium right now, and if we could be thoughtful.",0,5,
5,0:10:00,0:12:00,"[10:00–10:30]
about providing more of that down the road it would be helpful. Um again I think tabletop share I
think some of this is a little bit uh redundant or or you know we've kind of covered it uh so we'll
just keep going. Um natatorium talked about it a a lot um that night and I I think you know that
that group of the community was was in favor of you know doing away with the idea of renovating the
old natatorium and focusing on building a new natatorium.

[10:30–11:00]
Natatorium. Um, you know, and things that resonated with people were you know, just the pictures of
kind of what we have versus what we could have, uh, the seating, the locker rooms, uh the locker
rooms in particular seem to resonate with people, and that I don't think we really don't have any
right now. So we're changing girls are changing and hanging their clothes next to pull equipment and
other stuff. So I mean, you know, I think it was fairly easy to to present that this is a a a real
need. Um but seems like a lot of support uh for a new nadatorium um at the meeting the other night.
Um

[11:00–11:30]
Um if it was, you know, depending on where it is, because we didn't we didn't want to get into
specifics of where it would be, but we did I had gotten the question of where will it be, and so we
wanted to present that we'd at least thought about or we have a plan for where where the new
nadatorium would go. So we just presented four locations, potential locations, didn't get into any
details about any of the four really, other than to assure the community that we wouldn't be
spending another twenty, thirty million dollars on real estate somewhere to to put it. So um that
did come up. We didn't get into a lot about where it would go and and you know what what location
might be best.

[11:30–12:00]
You know, another thing that came up in that to me seeing these share outs is how it's used, and I
think you know, people wanted to understand how often it's used, where are our kids going now? There
was a a Northbrook swimmer here that mentioned having to go to practice at the YMCA, and there were
other members of the community, some that even came up to me after the meeting that just thought
that was the worst thing that they had ever heard that we can't actually house our own you know
athletes in our own facilities. We have to send them somewhere else. Um so I do think it resonated
as a need, you know, with.",0,5,
6,0:12:00,0:14:00,"[12:00–12:30]
the community one of the things sorry to pipe pipe in and add on to that uh what I thought was
interesting I had never thought I'd never considered before one of the swimmers said I think she was
from Northbrook maybe I can't remember stated that um not getting to swim in the natatorian space
for which they would then be competing puts them at a disadvantage for competitions when they go to
real swim meets because they're not in the setting where they would be. I thought that I just and I
had never considered that before that I thought that was very interesting. Well no that I think she
specifically mentioned not knowing how to jump off the blocks yes she did say that because they're
on

[13:00–13:30]
When you go to Hawaii, you don't have them. They don't have them, yeah. So sorry to pipe in. I
thought that was interesting. And the other thing on the nadatorium, too, is it's the only facility
that's used every day. Yeah. You know, and that's something that someone mentioned to me, and I was
like, that is a really good point. It is used every single day. Touched every day. Yeah. Um on the
athletic complex, so I guess this is Tully and Don Coleman. Um specifically to Tully, we went
through and presented the options A, B, and C. You know, and you'll recall that option A was kind of
the smaller renovation.

[13:30–14:00]
if you will, you know, maybe going through and and fixing some of the seating, but it probably had a
10 to 15 year lifespan, B and C being more of your comprehensive uh renovations or even C basically
a rebuild uh and even bringing down the berm. So we just talked about the different um sort of plans
and discussions around those three options, uh, and then you know, there was discussion about what
it would look like. Um I think you know, one of the things that I think we keep hearing, and I
completely agree with, is that Tully's got a lot of history and character, and to the extent that we
can maintain",0,5,
7,0:14:00,0:16:00,"[14:00–14:30]
maintain kind of the bowl and the berm and like you know there's a lot of people that really do like
and appreciate that and so I think that will be important in the rebuild or you know renovation is
you know sort of keeping that bowl kind of feel to it um because I think people really like it.
There was I I think you know we'll see in a second the vast majority of people picked option C,
which to me the real difference between B and C is is you know C is the overhang, you know, with the
double decker seating and s B is a pretty extensive renovation with still

[14:30–15:00]
the bowl kind of feel to it. There was some discussion about whether people were skeptical about
having sort of that second deck. And we talked a little bit about attendance numbers and would the
upper deck be empty or would we close it except for when it's needed kind of kind of conversation.
So I I thought that was actually interesting.

[15:00–15:30]
keep the bowl without the upper deck. So I think you could go either way on that, but that was that
was kind of how that conversation went. Um again, where's the band gonna go? You know, some of these
questions came up that I think get into the design. And so the answer was we're not quite there yet,
but I mean it's obviously something that's on people's minds and and again it gets to the arts
portion of this, but I think that'll be important in the planning. Another you know concern
obviously is if we do renovate this and it happens, where are we gonna play? You know, for a few
years and so you know planning all that out. But those are kind of down the road. Um

[15:30–16:00]
Let's see, yeah. And then we voted. Uh so you see there, you know, so I mean I mean the way I said
this was 37 to zero as to whether or not we do just sort of a touch up or completely renovate it.
And then there was, you know, vast majority in favor of option C, which was essentially the complete
rebuild uh with the double deck, and then you know, a third, close to a third, voted for option B.
But I think resoundingly it was it needs to be done, and we're we're very supportive of it being
done. Growth.",0,5,
8,0:16:00,0:18:00,"[16:00–16:30]
Grobe um was actually an interesting conversation. And it was overwhelmingly uh the entire group was
overwhelmingly in favor of doing it. I think it was almost unanimous. The idea of you know having a
facility that could house a Friday night football game as opposed to playing on a Thursday night or
a Saturday afternoon really seemed to resonate with people. And you know, I think it also would put
partially be viewed, or at least it came up in the feedback of, you know, a stadium that's closer to

[17:00–17:30]
uh Springwoods and Northbrook and there were quite a few uh members that followed up with me after
the meeting and spoke up during uh that they thought that attendance would go up because it would be
easier to get to. And so it would feel more like a home field. And but you know they also I mean
obviously we heard uh you know a lot of support for Tully as well. So you know all the football
coaches at our meeting on Monday they were there again on Wednesday but they all reiterated that you
know that Tully's amazing but having a a second stadium would be uh really nice um

[17:30–18:00]
Um so again, you know, we voted on that, and then as you'll see, you know, nobody voted to do kind
of the the minimal renovation, but it was you know what 97% in favor of doing the complete you know
rebuild of of option C. So um pretty overwhelming support for that as well. And then at the back
part of this, um, you know, I was actually a little anxious to see what the support would be. And
and admittedly, you know, this is a group of 40 people that.",0,4,
9,0:18:00,0:20:00,"[18:00–18:30]
were picked because they have a vested interest in athletics or performing arts. So it's a pretty
friendly crowd, uh, admittedly, but the support was overwhelming. I mean, so on a scale of zero to
five, you know, how confident are you, or how strongly do you feel in your support for the entire
six hundred and fifty million dollar package? And the average was a four point eight. So I mean, I
think every single vote was at least a four, and the vast majority were fives. Um, and then you
know, you see it all the way down the down the uh list there. So the high schools uh

[18:30–19:00]
The nadatorium, Tolle and Grobe, you know, all. I mean the lowest score was a 4.7. So uh
overwhelming support uh for all of the different um potential bond propositions and that's kind of
how we wrapped up the meeting. Um Linda, I'll let you read off your words. I I guess these are final
thoughts that people left us with. Um yeah, go ahead. Well we had two exit ticket tickets that we
have you we used at the first meeting and we used

[19:00–19:30]
First meeting, and we came back to this time, which was really what's the one word that describes
how you feel having heard everything this evening. And this word cloud magnifies based on how many
times a word was stated. So clearly, the most exciting word was excited that was repeated many
times, along with hopeful and optimistic. And again, those are the other words that you would see
there. And then the other question that was asked was whether people had any lingering questions
that had not yet been addressed. And so we've provided literally every question that was asked,
every comment we wrote down between the start of the

[19:30–20:00]
meeting and the end, you all have summarized here. So any questions? I do think, I mean, I think
word is getting out there, you know, slowly. Um, but I I think there's a lot of support for it. I
mean, I I I happened to uh meet a guy on, I think it was Thursday or Friday last week named Juan
Aguilar, who runs a small business in town and he happens to have a baseball and a softball player
at Northbrook High School and knew nothing about any of this.",1,3,
10,0:20:00,0:22:00,"[20:00–20:30]
and so I just described kind of what would happen to Northbrook and he is now rallying together you
know families for me to come lay it out for him. So I I think you know when they when people hear
about it it's I do think it's a need. I think it's a it's there's a there's a pent up desire to have
this done and and I think you know again I think we've said it before I think John alluded to it you
know last week is that you know I mean I think we've identified needs here and and the way that this
has to be laid out in bond proposals, I mean you're basically laying it out and letting the
community decide what kind of direction

[20:30–21:00]
we want to go and and how that gets packaged into three four five different bond proposals. I mean I
guess we'll have a discussion on but um I'm pretty excited about it and uh I think I think a lot of
the community is too the more they hear about it so do we want to discuss this do we want to provide
feedback on to to the administration on I guess what we might be interested in

[21:30–22:00]
hearing about at the next meeting? Do we want to start coalescing around certain projects and
dollars or it's up to us. So how do y'all want to proceed? So I guess question I have is when we go
to package this or vote and put the bonds together, um are we going to say okay Grove, all those in
favor say aye or I",0,5,
11,0:22:00,0:24:00,"[22:00–22:30]
I or I'm how how are we voting on this, right? How how I I guess I can't remember what the previous
board did when they did all that. I mean, basically we kind of do it on nods, I think, to that
point. Um I mean, and I'll just picking the natatorium, you know, getting the nod from everybody
saying, Yes, we all like the build of the brand new natatorium. So that tells us all right, we'll
put that in um the next uh option scenario. Thank you. And then the I think discussion about Grobe,
I think

[22:30–23:00]
we get a consensus here. It's not really a vote, but kind of a consensus of which one you lean
towards as and that's how we'll start putting I say we collectively, as Travis will pull this um the
budgets together, you know, for those packages. What I remember from the 2022 CTE bond watching
those meetings um was and they were meeting kind of week to week like we are, but they would kind of
go around the table and everyone kind of give your thoughts and feedback for everyone to hear on the
different things.

[23:00–23:30]
I'm in favor of the nadatorium, I'm in favor of Grobe or I'm not, or I I and then you kinda get a
cons you kind of get a general feel where everyone is. The administration kind of works off that to
pres to to then know how maybe we're gonna draft our proposals or put how we word our motions where
we make the motion to do X. That's what I remember. That's your right.

[23:30–24:00]
Is that I I you know, that's and I've only been through one of these other than this, but that was
for one number, right, other than technology, right? So it was what are we gonna put out there and
it's gonna be one bond proposal with one number with what included in it and what is to be
addressed. Whereas, you know, I I think it would be a good discussion to have, but I I see this as,
you know, four propositions. Um I think we've heard from bond council that it could be as few as
three if we wanted it to be. But um",0,5,
12,0:24:00,0:26:00,"[24:00–24:30]
you know, I I think people may have different opinions on, you know, as you vote as a voter on on
the the four different propositions. So my view of it is is that it would be four propositions and
based on the feedback that we got from the committee, which would have been the same feedback we
would have gotten from a bond advisory council like we did the last time, it was overwhelmingly in
support of putting the six hundred and fifty million dollars categorized into the different bond
proposals and let the community vote. But with the feedback that we got last week

[24:30–25:00]
and I was anxious to get that. I I personally don't know how we pull something out. I I just I think
it's the community's decision, not ours. You know, we've identified a need and that we need a
nadatorium. I don't think anybody would dispute, you know. So I don't I don't think it's our job to
say, well, I'm not comfortable putting that in. Like I I do think it's the community's decision to
decide now. And the way that this is carved up, I'm comfortable putting it in front of the community
that way because you'll you'll be able to vote weigh in on each thing. I may be in favor of the
natitorium and she may want a football stadium.

[25:30–26:00]
but they're not together so you're not alienated. You know what I mean? So everything has to stand
on its own. Yeah, I I totally agree. I I agree. I guess I more think now that we have A, B, and C on
certain items, maybe that's maybe that's where we have a discussion like we're all in favor of B or
we're all in favor of C. I know that's I was anxious to get that feedback to see where the commun
the community is and the committee. Um so yeah I think we're all there for all four. It's just what",0,4,
13,0:26:00,0:28:00,"[26:00–26:30]
What specific options when they have options. I do want to sorry Shannon. Just as a reminder, I do
want to um we were asked to look at Tully Stadium and just what it would look at from 9,000 to I
think eleven thousand. So in scenario three, we're gonna come to the board with those numbers. So
that's something that we would definitely want feedback, but you are correct. With the um for Don
Coleman and Tully and then for uh Grove Stadium, the option.

[26:30–27:00]
The options A, B, and C. That's definitely something that we'll want to secure feedback, but we do
owe you guys some additional information. So would that totally will that also include if we had
like Chris was saying, that people like the look? So even if we rebuild it, would we do a number
where we have the second level and then not a second level? Or it would just be And this is not an
opinion, this is truly just a question. So we would look at designing capacity and the at the
different levels, and what would that look like in terms of cost?

[27:00–27:30]
and not so much design, because keep in mind when we showed option C, it did have the upper tier.
That was a conceptual design. Um you could have it's if it's 10,000, you could have it with the
upper tier, or it could be 10,000, but you've spread out and you've got a continuous rake of seating
that kind of mimics what it looks like now at Tully. So, you know, the the ultimate design, as Chris
said, that's not been decided. Once we know what the goal and

[27:30–28:00]
the desire of the board in terms of capacity along with the help of our athletic department, we can
then work from there. Along those lines, so for for C at Tully, wasn't part of it. I mean, part of
it is sort of structural in that we would lower the berm, but is lowering the berm to allow the
upper deck or no? Not specifically. Lowering the berm um allows for added use of",0,5,
14,0:28:00,0:30:00,"[28:00–28:30]
the space at the top of the berm to accommodate the buildings supporting it. So you can provide an
upper deck with or without it. Okay. And I think I misunderstood. So I I personally like the feel of
the bowl and and the way it looks, and it's you know the tradition behind all that. So if you added
the extra deck, could you keep that feel and look? I was I'm confused about that now. Sorry. Whether
we could do a continuous rake or add an upper deck, the goal is to keep the bowl correct. It may be

[28:30–29:00]
like I said, the berm is this high and we'd bring it down a little bit lower to add more surface to
build upon, but the bowl effect would still remain. Oh, go ahead, Charles. And it would still, you
know, whatever renovation looks like at Grove Stadium, we'd still have that same bowl and recessed
field effect at Grove. Are there any examples of a stadium like that with a upper deck that remain
like that that y'all could show us? I'm very visual. I'd like to see it. Okay. We've already begun
to pull together some of those examples.

[29:00–29:30]
to show you the two tiers and then a continuous rake. But am I hearing so that's a decision that
could be made later? Yes, correct. As long as we have um the board's approval and the you know the
our community votes with that we can we can design accordingly. And so highlight B and C for me real
quick. What do you mean? Just like the main the main the the dollar amount wasn't honestly that
different. I mean it's I think it's seven million dollars, five million",0,5,
15,0:30:00,0:32:00,"[30:00–30:30]
dollars something. Is that right? About right? Yeah, that's correct. And the main difference in B
and C is lowering of the berm, which allows you to redo, and option C allows you to redo the steep
ramps on both sides of the existing facility to get up to the top, allowing you to have accessible
seating and larger buildings, more bathrooms, more support spaces in the buildings at the top of
those berms. If you stick to option B and you leave the single rake concrete in place and you do not
lower the berm as far down, you keep the ramps up to the side.

[30:30–31:00]
Camps up to the side, and you're a little more limited in the real estate you can build and and
expand upon. And then the designated band grants, how does C allow for that? That B doesn't? Band
can be reseeded and relocated in either one of them. So when we redo the stands through the design
process, we would meet with the district and find out where that band goes, where it works best for
fine arts, and could be on the sides or on the north or or the south. Or the east or the west?

[31:00–31:30]
Travis, would it be helpful if we go through each of the four proposed bonds and talk about where we
all land, like A, B, or C for each one? Like what's the best way for us to give you feedback? So you
guys have given us great feedback uh so far. So when we come back Wednesday, we're gonna present
scenario number three. Um we're fortunate, like with the datatorium, there's not a massive amount of
change that has occurred from one, two, and three.

[31:30–32:00]
What has changed really the most has been um Don Coleman, excuse me, um uh Tully Stadium and what
that looks like. So we're gonna continue with scenario three to provide you all with those different
options um with Tully. We're going to provide additional information that what it looks like in
terms of cost with a 9,000 seat capacity, 10,000, 11,000, you know, just as you know Paige talked
about the 10,000. So we'll seating capacity. So",0,4,
16,0:32:00,0:34:00,"[32:00–32:30]
we'll definitely highlight that. We'll provide additional information with some examples of tiered
design as well as a continuous uh rake effect where it's just you know the seating continues from
top to bottom. And I think that will allow the trustees to provide to uh maybe generate some
additional questions and allow us to give more feedback. So I think you guys are heading in the
right direction in terms of giving us information back and then we're able to react and respond to
it. Now that we're at scenario three, I think we're

[32:30–33:00]
zeroing down to only a couple of projects where further discussion may be needed. And I think it's
good for us just to continue to ask the questions between now and then with y'all and then also with
the community members. Because I appreciate hearing what you provided, Chris, saying that Grobe was
a hundred percent basically, you know, as far as an interest with that committee. You know, when
I've had conversations this past week, I've heard kind of the opposite, just with if there was a
place to make a cut, that would be one, especially when you're talking about

[33:00–33:30]
And especially when you're talking about middle schools in three years and potentially another tax
increase then, and just having that awareness, and like you said, I think it would be helpful to
have that as a separate thing just to let the community, whatever we decide, the community can
choose. But I just don't want to hurt other things if things get voted on differently. Just not take
on it. Yeah, so I guess my quick take is um just so you know my preferences, I can show them pretty
quick. Uh I prefer to see four uh buckets uh just to provide the optionality to the community. Uh
I'm gonna try.",0,5,
17,0:34:00,0:36:00,"[34:00–34:30]
Uh I'm gonna trust the team that worked on kind of showing you know which options the community
might be preferring. So you know you're looking at option C for the Coleman-Tolley combination as
well as for the uh Grove. Um I've already expressed my opinions on you know priority, but again, you
know the way I see this is we're putting out to the community for the community to vote. So even
these statements right now for me are not saying, hey, listen, you know, as a fiscal conservative,
this is what we're supposed to do, but I think the community should weigh in and vote on it, right?
So I would I would look at the four buckets and uh it also provides

[34:30–35:00]
the ability for someone who might say, Hey, I don't want a tax increase to vote for a combination of
one or two of them, right? And keep us out of a tax increase. So it just provides that option,
right? So to me I feel like that's uh that's probably the most prudent thing. But I appreciate
everything that you guys have brought back from the team because I do feel like there's a lot of
support for this and um yeah, I'm excited to see what happens with it, right? I agree with the
choice for the community too, and obviously I'm th enthusiastic about this and um

[35:00–35:30]
Um was glad to be there the other night listening to everyone's feedback. I have a question about
the netatorium. Um has there been any more investigation on site specifically at the Tully Coleman
complex? And is that really shaping up to be a plausible uh approach for this?'Cause I I I feel like
that's gonna be a question that would be probably front and center whenever this goes to the public.
They're gonna want to know where, and I'm not sure it would help to say, well it could be here,
there or you know, C or D locations.

[35:30–36:00]
Locations, if you want to leave it on. Yes, that will be part of scenario three, just talking about
the Tully Stadium complex. Just kind of a high level, we're of course going to be looking at what
parking is going to be taken away whenever we build the site there. We do have some above ground
detention that is currently existing at Tully Stadium. And then if we were to put that underground
and gain that surface area for additional parking, what would that look like? So we're running all
of those numbers.",0,5,
18,0:36:00,0:38:00,"[36:00–36:30]
Okay. Do you have a view on it being I mean like from a from a practical standpoint with Stratford
and Tully and Don Coleman and a potential natatory? I mean how what are your thoughts on all of that
right there together? Um I think uh that we would love to have it at Tully. Uh I think that there's
a lot of parking lot and um that some of it that we are not using, and I just think about how much
money um that parking lots cost. And so I think uh

[36:30–37:00]
that we feel like that also we want to make sure that we have enough parking for the natatorium. So
I think that obviously, you know, we'd have to kind of look at, you know, I mean I we'd probably
have a fuller parking lot on some Friday nights when we have football and we have and we have um,
you know, uh things going on at the natatorium. And I think obviously, you know, we'd have to kind
of figure it out uh, you know, when we have um we we do this all the time. I I know that everybody
doesn't know, but we always have to worry, oh, we've got uh softball tournament, we can't run track
here, we're gonna have to run it over here. So but

[37:00–37:30]
obviously I think um you know when we have a memorial stratford you know we we're gonna have to look
at you know um manipulating the schedule or something when when we have that game because we know
what happens with the parking lot and I think we also look you know we kind of looked at and again I
know uh just how much parking that would take but um I think uh we we just feel like that it would
be you know it would be great just to try to utilize the existing parking and plus just being near
us um it it's great uh and I think some of the things that have been expressed about some of the
other

[37:30–38:00]
s spots might I mean I think that we have to look at all of it. So I think obviously that's
everybody has to weigh in on that, but we're we're certainly in in favor of that um site being
utilized because that's similar again to if you look at if you look at where the SciFair ISD
notatorium is, it's right there at at Pridge and they again take you know they take you know use of
the parking. So sometimes you're gonna have really, really big events and then you're you're gonna
be utilizing uh parking space that otherwise kind of sits um you know empty a lot of the time. So",0,5,
19,0:38:00,0:40:00,"[38:30–39:00]
So we we'd be utilizing that if we could kind of figure out what we do when we have these really big
you know football games, we just have to kind of work with scheduling. Anyone else have feedback?
Nope. All right. There being no further business to come before the

[39:00–39:30]
board. The special meeting is adjourned. The time is now 8 42.",0,5,